id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Anthem,Block Theory,hip-hop,energetic,0.85,95,0.72,0.91,0.08
12,Autumn Sonata,Clara Voss,classical,melancholic,0.22,58,0.31,0.28,0.97
13,Iron Descent,Fault Line,metal,aggressive,0.97,168,0.22,0.55,0.03
14,Velvet Hours,Sable June,r&b,romantic,0.55,88,0.78,0.76,0.42
15,Old Pine Road,The Drifters,folk,nostalgic,0.31,102,0.64,0.47,0.88
16,Pulse Drop,Wavefront,electronic,euphoric,0.94,128,0.88,0.95,0.04
17,Empty Glass,Hound Morris,blues,sad,0.38,68,0.24,0.43,0.76
18,Porch Swing Evening,Clay Hollow,country,peaceful,0.33,96,0.73,0.52,0.81
19,Golden Shore,Coral Tide,reggae,uplifting,0.61,82,0.86,0.78,0.38
20,Slow Burn,Nadine Lake,soul,longing,0.48,76,0.69,0.65,0.55
